name,country,fraction,y,x
Port of Nador,MA,0.2,35.2748795,-2.92229843
Port of Tanger Med,MA,0.2,35.5324,-5.3036
Port of Kenitra,MA,0.1,34.26101,-6.5802
Port of Tan-tan,MA,0.4,28.47384,-11.3453
Port of Kenitra,MA,0.1,33.1267,-8.62028
dummy port 1,NG,1,6.455,4.234
dummy port 1,BJ,1,6.47,2.63
dummy port 1,BR,1,-22.9068,-43.1729
dummy port 1,NA,1,-21.05431,13.50664
dummy port 1,AE,1,25.2048,55.2708
AS Suways,EG, 1, 29.966667,32.55
Damietta,EG,1,31.483333,31.75
Port Said,EG,3,31.266667,32.3
Cape Town,ZA,0.5,-33.916667,18.416667
Durban,ZA,0.5,-29.891,31.019
Odessa-Chomomorsk,UA,0.33,46.3169415247923,30.6587772304983
Mariupol,UA,0.34,47.0928379930448,37.5817963517763
Sewastopol,UA,0.33,44.5855065767527,33.416254900844
Duqm,OM,0.33,19.662996,57.711661
Sohar,OM,0.33,24.416667,56.633333
Samsun,TR,0.333,41.29961,36.34982
Mersin,TR,0.333,36.79983,34.63333
Aliaga,TR,0.333,38.83316,26.93334
